,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/01/2017,RAL,27,ATL,19,0
1,04/01/2017,JAX,40,NSH,23,0
2,04/01/2017,DAL,21,AUS,17,0
3,04/01/2017,SF,34,SJ,29,0
4,04/01/2017,SD,26,LA,31,0
5,04/01/2017,SEA,29,VAN,18,0
6,04/02/2017,IND,19,MAD,24,0
7,04/08/2017,NY,17,TOR,22,0
8,04/08/2017,IND,25,DET,15,0
9,04/08/2017,AUS,19,RAL,26,0
10,04/08/2017,SJ,24,SF,22,0
11,04/09/2017,DC,32,TOR,21,0
12,04/09/2017,DAL,33,RAL,18,0
13,04/09/2017,LA,21,VAN,18,0
14,04/15/2017,NSH,27,ATL,37,0
15,04/15/2017,JAX,18,RAL,25,0
16,04/21/2017,SJ,30,SD,25,0
17,04/22/2017,PHI,23,MTL,24,0
18,04/22/2017,RAL,23,DC,21,0
19,04/22/2017,PIT,30,CHI,22,0
20,04/22/2017,MIN,26,IND,16,0
21,04/22/2017,ATL,25,JAX,27,0
22,04/22/2017,AUS,24,DAL,30,0
23,04/22/2017,SF,28,SD,19,0
24,04/22/2017,VAN,24,SEA,27,0
25,04/23/2017,NY,21,MTL,8,0
26,04/23/2017,NSH,11,JAX,14,0
27,04/28/2017,SEA,26,SJ,27,0
28,04/29/2017,TOR,19,MTL,22,0
29,04/29/2017,DET,23,CHI,14,0
30,04/29/2017,NY,18,PHI,13,0
31,04/29/2017,DC,29,OTT,24,0
32,04/29/2017,PIT,26,IND,25,0
33,04/29/2017,MIN,22,MAD,20,0
34,04/29/2017,RAL,28,AUS,23,0
35,04/29/2017,NSH,8,DAL,27,0
36,04/29/2017,VAN,22,SJ,28,0
37,04/29/2017,LA,22,SF,26,0
38,04/30/2017,PHI,26,OTT,29,0
39,04/30/2017,JAX,30,AUS,22,0
40,04/30/2017,ATL,24,DAL,29,0
41,04/30/2017,SD,20,SF,21,0
42,05/06/2017,OTT,21,TOR,24,0
43,05/06/2017,DC,22,NY,21,0
44,05/06/2017,MIN,28,IND,25,0
45,05/06/2017,MAD,18,CHI,16,0
46,05/06/2017,DAL,32,NSH,23,0
47,05/06/2017,SEA,26,PIT,24,0
48,05/06/2017,SD,22,VAN,14,0
49,05/07/2017,MTL,17,TOR,24,0
50,05/07/2017,AUS,31,NSH,11,0
51,05/07/2017,LA,23,VAN,18,0
52,05/12/2017,JAX,24,DAL,22,0
53,05/13/2017,TOR,26,DC,20,0
54,05/13/2017,OTT,25,PHI,21,0
55,05/13/2017,ATL,31,NSH,19,0
56,05/13/2017,RAL,32,DAL,25,0
57,05/13/2017,IND,20,MAD,23,0
58,05/13/2017,CHI,17,MIN,20,0
59,05/13/2017,VAN,27,SD,26,0
60,05/13/2017,SF,27,SEA,28,0
61,05/13/2017,SJ,28,LA,22,0
62,05/14/2017,MTL,25,PHI,26,0
63,05/14/2017,DET,19,MIN,22,0
64,05/20/2017,DC,23,MTL,20,0
65,05/20/2017,MIN,26,DET,17,0
66,05/20/2017,MAD,31,PIT,25,0
67,05/20/2017,AUS,27,ATL,28,0
68,05/20/2017,JAX,20,RAL,21,0
69,05/20/2017,SJ,19,VAN,18,0
70,05/21/2017,CHI,22,DET,12,0
71,05/21/2017,DAL,26,ATL,18,0
72,05/21/2017,SF,33,VAN,20,0
73,05/21/2017,NY,16,MTL,19,0
74,05/27/2017,NY,25,DC,28,0
75,05/27/2017,DET,21,PIT,23,0
76,05/27/2017,TOR,31,PHI,18,0
77,05/27/2017,MAD,21,CHI,20,0
78,05/27/2017,ATL,20,JAX,23,0
79,05/27/2017,LA,23,SD,24,0
80,05/28/2017,MIN,23,CHI,20,0
81,05/28/2017,MTL,23,PHI,21,0
82,06/02/2017,OTT,22,MTL,31,0
83,06/03/2017,DET,23,IND,32,0
84,06/03/2017,TOR,33,OTT,23,0
85,06/03/2017,PHI,22,DC,21,0
86,06/03/2017,MAD,17,DAL,23,0
87,06/03/2017,NSH,24,AUS,28,0
88,06/03/2017,RAL,27,JAX,26,0
89,06/03/2017,CHI,22,PIT,21,0
90,06/03/2017,VAN,23,SD,25,0
91,06/03/2017,SJ,23,LA,28,0
92,06/04/2017,SF,30,LA,24,0
93,06/04/2017,SEA,19,SD,22,0
94,06/04/2017,IND,26,PIT,28,0
95,06/04/2017,ATL,27,AUS,24,0
96,06/04/2017,DC,18,NY,17,0
97,06/09/2017,SD,21,SEA,20,0
98,06/10/2017,PHI,28,TOR,35,0
99,06/10/2017,MTL,16,OTT,13,0
100,06/10/2017,JAX,27,ATL,23,0
101,06/10/2017,RAL,32,NSH,20,0
102,06/10/2017,MIN,22,MAD,23,0
103,06/10/2017,SF,27,SJ,19,0
104,06/10/2017,LA,25,SEA,20,0
105,06/11/2017,DC,25,TOR,17,0
106,06/17/2017,IND,23,DET,21,0
107,06/17/2017,TOR,33,SF,27,0
108,06/17/2017,MTL,27,DC,23,0
109,06/17/2017,PIT,21,MAD,22,0
110,06/17/2017,ATL,21,RAL,24,0
111,06/17/2017,CHI,12,MIN,23,0
112,06/17/2017,DAL,27,AUS,25,0
113,06/17/2017,VAN,19,SEA,24,0
114,06/17/2017,SD,24,SJ,28,0
115,06/18/2017,OTT,13,DC,28,0
116,06/18/2017,DET,11,MAD,21,0
117,06/18/2017,NY,27,PHI,14,0
118,06/24/2017,NY,23,OTT,22,0
119,06/24/2017,DC,25,PHI,17,0
120,06/24/2017,MAD,21,DET,9,0
121,06/24/2017,RAL,27,JAX,13,0
122,06/24/2017,DAL,21,ATL,19,0
123,06/24/2017,VAN,20,LA,21,0
124,06/24/2017,SJ,29,SF,26,0
125,06/25/2017,PHI,22,OTT,14,0
126,06/25/2017,AUS,26,ATL,25,0
127,06/25/2017,PIT,18,IND,16,0
128,06/25/2017,CHI,23,DET,16,0
129,06/25/2017,SEA,26,LA,29,0
130,06/30/2017,SEA,31,VAN,10,0
131,07/01/2017,DET,14,PIT,22,0
132,07/01/2017,MTL,29,NY,20,0
133,07/01/2017,MAD,21,MIN,13,0
134,07/01/2017,NSH,21,AUS,27,0
135,07/01/2017,IND,30,CHI,24,0
136,07/02/2017,OTT,19,NY,20,0
137,07/02/2017,PIT,21,CHI,20,0
138,07/07/2017,DAL,27,JAX,28,0
139,07/08/2017,NSH,14,RAL,24,0
140,07/08/2017,DET,17,MIN,31,0
141,07/08/2017,TOR,28,MTL,20,0
142,07/08/2017,NSH,26,RAL,31,0
143,07/08/2017,AUS,27,JAX,31,0
144,07/08/2017,SD,19,LA,26,0
145,07/09/2017,PIT,26,MIN,22,0
146,07/14/2017,IND,25,MIN,26,0
147,07/14/2017,CHI,17,MAD,26,0
148,07/14/2017,ATL,27,NSH,22,0
149,07/14/2017,SJ,17,SEA,21,0
150,07/15/2017,PHI,30,NY,23,0
151,07/15/2017,PIT,28,DET,24,0
152,07/15/2017,JAX,33,NSH,24,0
153,07/15/2017,AUS,23,DAL,27,0
154,07/15/2017,SF,31,SEA,26,0
155,07/15/2017,LA,18,SD,22,0
156,07/16/2017,OTT,25,TOR,30,0
157,07/21/2017,SD,23,SJ,22,0
158,07/22/2017,PHI,20,DC,23,0
159,07/22/2017,OTT,25,NY,29,0
160,07/22/2017,CHI,19,IND,26,0
161,07/22/2017,MIN,19,PIT,13,0
162,07/22/2017,SEA,24,SF,30,0
163,07/22/2017,LA,24,SJ,23,0
164,07/23/2017,MTL,31,OTT,22,0
165,07/23/2017,MAD,22,IND,21,0
166,07/23/2017,TOR,20,NY,14,0
167,07/23/2017,VAN,18,SF,26,0
168,07/29/2017,DAL,22,JAX,12,1
169,08/04/2017,MIN,25,PIT,26,1
170,08/11/2017,DC,28,MTL,16,1
171,08/12/2017,RAL,24,DAL,27,1
172,08/12/2017,MAD,27,PIT,22,1
173,08/12/2017,SJ,24,LA,33,1
174,08/13/2017,TOR,29,DC,26,1
175,08/13/2017,SF,33,LA,22,1
176,08/26/2017,MAD,19,SF,23,1
177,08/26/2017,DAL,21,TOR,24,1
178,08/27/2017,TOR,29,SF,30,1
