,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,201803310DET,0,2018,03/31/2018,1,0,DET,12,1500.0,1465.601757314746,IND,24,1500.0,1534.398242685254,H,L,0.6400649998028851
1,1,201803310DET,1,2018,03/31/2018,1,0,IND,24,1500.0,1534.398242685254,DET,12,1500.0,1465.601757314746,A,W,0.3599350001971149
2,2,201803310RAL,0,2018,03/31/2018,1,0,RAL,27,1500.0,1512.3375415547957,TB,22,1500.0,1487.6624584452043,H,W,0.6400649998028851
3,2,201803310RAL,1,2018,03/31/2018,1,0,TB,22,1500.0,1487.6624584452043,RAL,27,1500.0,1512.3375415547957,A,L,0.3599350001971149
4,3,201804070SEA,0,2018,04/07/2018,1,0,SEA,0,1500.0,1500.0,MIN,0,1500.0,1500.0,H,L,0.6400649998028851
5,3,201804070SEA,1,2018,04/07/2018,1,0,MIN,0,1500.0,1500.0,SEA,0,1500.0,1500.0,A,W,0.3599350001971149
6,4,2018040700LA,0,2018,04/07/2018,1,0,LA,0,1500.0,1500.0,SD,0,1500.0,1500.0,H,L,0.6400649998028851
7,4,2018040700LA,1,2018,04/07/2018,1,0,SD,0,1500.0,1500.0,LA,0,1500.0,1500.0,A,W,0.3599350001971149
8,5,201804070PIT,0,2018,04/07/2018,1,0,PIT,0,1500.0,1500.0,DET,0,1465.601757314746,1465.601757314746,H,L,0.684311763540544
9,5,201804070PIT,1,2018,04/07/2018,2,0,DET,0,1465.601757314746,1465.601757314746,PIT,0,1500.0,1500.0,A,W,0.315688236459456
10,6,2018040700DC,0,2018,04/07/2018,1,0,DC,0,1500.0,1500.0,MTL,0,1500.0,1500.0,H,L,0.6400649998028851
11,6,2018040700DC,1,2018,04/07/2018,1,0,MTL,0,1500.0,1500.0,DC,0,1500.0,1500.0,A,W,0.3599350001971149
12,7,2018040700SF,0,2018,04/07/2018,1,0,SF,0,1500.0,1500.0,SJ,0,1500.0,1500.0,H,L,0.6400649998028851
13,7,2018040700SF,1,2018,04/07/2018,1,0,SJ,0,1500.0,1500.0,SF,0,1500.0,1500.0,A,W,0.3599350001971149
14,8,2018040700TB,0,2018,04/07/2018,2,0,TB,0,1487.6624584452043,1487.6624584452043,ATL,0,1500.0,1500.0,H,L,0.623545764661476
15,8,2018040700TB,1,2018,04/07/2018,1,0,ATL,0,1500.0,1500.0,TB,0,1487.6624584452043,1487.6624584452043,A,W,0.37645423533852396
16,9,201804070RAL,0,2018,04/07/2018,2,0,RAL,0,1512.3375415547957,1512.3375415547957,DAL,0,1500.0,1500.0,H,L,0.6562589571711297
17,9,201804070RAL,1,2018,04/07/2018,1,0,DAL,0,1500.0,1500.0,RAL,0,1512.3375415547957,1512.3375415547957,A,W,0.3437410428288703
18,10,201804070IND,0,2018,04/07/2018,2,0,IND,0,1534.398242685254,1534.398242685254,MAD,0,1500.0,1500.0,H,L,0.684311763540544
19,10,201804070IND,1,2018,04/07/2018,1,0,MAD,0,1500.0,1500.0,IND,0,1534.398242685254,1534.398242685254,A,W,0.315688236459456
20,11,201804080PHI,0,2018,04/08/2018,1,0,PHI,0,1500.0,1500.0,MTL,0,1500.0,1500.0,H,L,0.6400649998028851
21,11,201804080PHI,1,2018,04/08/2018,2,0,MTL,0,1500.0,1500.0,PHI,0,1500.0,1500.0,A,W,0.3599350001971149
